transaction_id,timestamp,customer_id,customer_type,menu_id,menu_name,category,unit_price,quantity,line_total
T000001,2026-01-01 17:53:49,W001877,walk_in,M024,Gado-Gado,Food,28000,1,28000
T000001,2026-01-01 17:53:49,W001877,walk_in,M001,Es Kopi Susu,Coffee,22000,3,66000
T000001,2026-01-01 17:53:49,W001877,walk_in,M012,Es Jeruk,Juice,18000,2,36000
T000002,2026-01-01 09:31:25,W003759,walk_in,M002,Kopi Tubruk,Coffee,15000,2,30000
T000003,2026-01-01 15:47:37,C00075,regular,M004,Cappuccino,Coffee,28000,3,84000
T000004,2026-01-01 14:05:48,C00015,regular,M003,Americano,Coffee,20000,1,20000
T000005,2026-01-01 16:24:24,C00060,regular,M033,Donut,Pastry,15000,2,30000
T000005,2026-01-01 16:24:24,C00060,regular,M001,Es Kopi Susu,Coffee,22000,2,44000
T000006,2026-01-01 17:34:48,C00083,regular,M004,Cappuccino,Coffee,28000,1,28000
T000007,2026-01-01 07:46:56,W004101,walk_in,M006,Es Kopi Gula Aren,Coffee,25000,1,25000
T000007,2026-01-01 07:46:56,W004101,walk_in,M020,Nasi Goreng,Food,35000,2,70000
T000008,2026-01-01 14:12:09,C00021,regular,M025,Nasi Uduk Komplit,Food,30000,1,30000
T000008,2026-01-01 14:12:09,C00021,regular,M001,Es Kopi Susu,Coffee,22000,1,22000
T000009,2026-01-01 07:59:23,W002520,walk_in,M004,Cappuccino,Coffee,28000,1,28000
T000010,2026-01-01 08:46:31,W001031,walk_in,M006,Es Kopi Gula Aren,Coffee,25000,1,25000
T000011,2026-01-01 11:55:38,C00028,regular,M024,Gado-Gado,Food,28000,1,28000
T000011,2026-01-01 11:55:38,C00028,regular,M022,Bakso,Food,30000,1,30000
T000011,2026-01-01 11:55:38,C00028,regular,M022,Bakso,Food,30000,1,30000
T000012,2026-01-01 19:28:07,C00009,regular,M021,Mie Goreng,Food,32000,1,32000
T000013,2026-01-01 10:04:45,W001876,walk_in,M001,Es Kopi Susu,Coffee,22000,1,22000
T000014,2026-01-01 14:17:42,C00070,regular,M032,Pisang Goreng,Pastry,18000,1,18000
T000015,2026-01-01 13:50:30,W001560,walk_in,M022,Bakso,Food,30000,1,30000
T000016,2026-01-01 13:55:46,C00084,regular,M002,Kopi Tubruk,Coffee,15000,1,15000
T000016,2026-01-01 13:55:46,C00084,regular,M011,Matcha Latte,Tea,28000,2,56000
T000016,2026-01-01 13:55:46,C00084,regular,M006,Es Kopi Gula Aren,Coffee,25000,1,25000
T000016,2026-01-01 13:55:46,C00084,regular,M020,Nasi Goreng,Food,35000,1,35000
T000017,2026-01-01 11:15:55,W003631,walk_in,M026,Ayam Geprek,Food,38000,1,38000
T000017,2026-01-01 11:15:55,W003631,walk_in,M021,Mie Goreng,Food,32000,1,32000
T000017,2026-01-01 11:15:55,W003631,walk_in,M001,Es Kopi Susu,Coffee,22000,1,22000
T000018,2026-01-01 18:15:10,C00062,regular,M013,Es Campur,Juice,20000,1,20000
T000019,2026-01-01 12:24:16,W003728,walk_in,M023,Soto Ayam,Food,28000,2,56000
T000020,2026-01-01 18:42:45,C00025,regular,M033,Donut,Pastry,15000,1,15000
T000021,2026-01-01 15:47:20,C00075,regular,M031,Banana Bread,Pastry,25000,1,25000
T000021,2026-01-01 15:47:20,C00075,regular,M001,Es Kopi Susu,Coffee,22000,1,22000
T000022,2026-01-01 19:04:38,C00111,regular,M003,Americano,Coffee,20000,2,40000
T000023,2026-01-01 10:38:02,W003435,walk_in,M020,Nasi Goreng,Food,35000,1,35000
T000023,2026-01-01 10:38:02,W003435,walk_in,M005,Latte,Coffee,28000,1,28000
T000024,2026-01-01 12:16:25,C00083,regular,M010,Teh Manis Panas/Dingin,Tea,10000,2,20000
T000025,2026-01-01 08:29:39,W000820,walk_in,M003,Americano,Coffee,20000,1,20000
T000026,2026-01-01 20:56:04,W003028,walk_in,M013,Es Campur,Juice,20000,1,20000
T000027,2026-01-01 11:51:41,C00086,regular,M005,Latte,Coffee,28000,1,28000
T000027,2026-01-01 11:51:41,C00086,regular,M032,Pisang Goreng,Pastry,18000,1,18000
T000027,2026-01-01 11:51:41,C00086,regular,M002,Kopi Tubruk,Coffee,15000,1,15000
T000028,2026-01-01 15:17:18,W002809,walk_in,M020,Nasi Goreng,Food,35000,1,35000
T000029,2026-01-01 13:57:58,W000757,walk_in,M026,Ayam Geprek,Food,38000,1,38000
T000029,2026-01-01 13:57:58,W000757,walk_in,M011,Matcha Latte,Tea,28000,1,28000
T000030,2026-01-01 21:10:47,C00091,regular,M001,Es Kopi Susu,Coffee,22000,1,22000
T000031,2026-01-01 19:57:09,C00107,regular,M021,Mie Goreng,Food,32000,1,32000
T000032,2026-01-01 07:23:57,W000327,walk_in,M003,Americano,Coffee,20000,1,20000
T000032,2026-01-01 07:23:57,W000327,walk_in,M001,Es Kopi Susu,Coffee,22000,2,44000
T000032,2026-01-01 07:23:57,W000327,walk_in,M030,Croissant,Pastry,22000,1,22000
T000033,2026-01-01 16:09:59,W001332,walk_in,M026,Ayam Geprek,Food,38000,2,76000
T000033,2026-01-01 16:09:59,W001332,walk_in,M001,Es Kopi Susu,Coffee,22000,2,44000
T000033,2026-01-01 16:09:59,W001332,walk_in,M005,Latte,Coffee,28000,3,84000
T000033,2026-01-01 16:09:59,W001332,walk_in,M025,Nasi Uduk Komplit,Food,30000,2,60000
T000034,2026-01-01 18:17:10,W000886,walk_in,M001,Es Kopi Susu,Coffee,22000,1,22000
T000035,2026-01-01 09:58:29,C00106,regular,M003,Americano,Coffee,20000,1,20000
T000035,2026-01-01 09:58:29,C00106,regular,M003,Americano,Coffee,20000,1,20000
T000036,2026-01-01 19:49:17,C00066,regular,M034,Cookies (3 pcs),Pastry,18000,1,18000
T000037,2026-01-01 20:07:56,W001463,walk_in,M034,Cookies (3 pcs),Pastry,18000,1,18000
T000037,2026-01-01 20:07:56,W001463,walk_in,M021,Mie Goreng,Food,32000,1,32000
T000038,2026-01-01 18:27:38,W000948,walk_in,M021,Mie Goreng,Food,32000,1,32000
T000039,2026-01-01 17:00:33,W001615,walk_in,M001,Es Kopi Susu,Coffee,22000,1,22000
T000040,2026-01-01 12:20:42,W002461,walk_in,M022,Bakso,Food,30000,1,30000
T000040,2026-01-01 12:20:42,W002461,walk_in,M023,Soto Ayam,Food,28000,1,28000
T000041,2026-01-01 09:42:24,W001426,walk_in,M004,Cappuccino,Coffee,28000,1,28000
T000041,2026-01-01 09:42:24,W001426,walk_in,M001,Es Kopi Susu,Coffee,22000,1,22000
T000042,2026-01-01 13:37:38,W003810,walk_in,M023,Soto Ayam,Food,28000,1,28000
T000043,2026-01-01 18:50:47,C00011,regular,M022,Bakso,Food,30000,1,30000
T000044,2026-01-01 08:48:15,W001841,walk_in,M002,Kopi Tubruk,Coffee,15000,1,15000
T000044,2026-01-01 08:48:15,W001841,walk_in,M034,Cookies (3 pcs),Pastry,18000,1,18000
T000044,2026-01-01 08:48:15,W001841,walk_in,M023,Soto Ayam,Food,28000,1,28000
T000045,2026-01-02 17:24:31,C00019,regular,M001,Es Kopi Susu,Coffee,22000,2,44000
T000045,2026-01-02 17:24:31,C00019,regular,M023,Soto Ayam,Food,28000,1,28000
T000046,2026-01-02 13:11:51,W003806,walk_in,M006,Es Kopi Gula Aren,Coffee,25000,2,50000
T000047,2026-01-02 13:51:29,W002600,walk_in,M026,Ayam Geprek,Food,38000,1,38000
T000047,2026-01-02 13:51:29,W002600,walk_in,M023,Soto Ayam,Food,28000,1,28000
T000047,2026-01-02 13:51:29,W002600,walk_in,M026,Ayam Geprek,Food,38000,1,38000
T000047,2026-01-02 13:51:29,W002600,walk_in,M026,Ayam Geprek,Food,38000,2,76000
T000048,2026-01-02 13:16:48,C00082,regular,M025,Nasi Uduk Komplit,Food,30000,1,30000
T000049,2026-01-02 10:28:04,W001921,walk_in,M006,Es Kopi Gula Aren,Coffee,25000,1,25000
T000050,2026-01-02 08:14:24,W001753,walk_in,M005,Latte,Coffee,28000,1,28000
T000051,2026-01-02 13:13:53,C00116,regular,M032,Pisang Goreng,Pastry,18000,1,18000
T000051,2026-01-02 13:13:53,C00116,regular,M026,Ayam Geprek,Food,38000,1,38000
T000052,2026-01-02 13:22:19,W003433,walk_in,M024,Gado-Gado,Food,28000,2,56000
T000052,2026-01-02 13:22:19,W003433,walk_in,M026,Ayam Geprek,Food,38000,1,38000
T000053,2026-01-02 11:31:01,C00086,regular,M010,Teh Manis Panas/Dingin,Tea,10000,1,10000
T000053,2026-01-02 11:31:01,C00086,regular,M012,Es Jeruk,Juice,18000,1,18000
T000054,2026-01-02 16:01:58,C00073,regular,M001,Es Kopi Susu,Coffee,22000,1,22000
T000054,2026-01-02 16:01:58,C00073,regular,M030,Croissant,Pastry,22000,1,22000
T000055,2026-01-02 11:20:13,C00044,regular,M006,Es Kopi Gula Aren,Coffee,25000,2,50000
T000055,2026-01-02 11:20:13,C00044,regular,M026,Ayam Geprek,Food,38000,1,38000
T000056,2026-01-02 08:01:47,C00045,regular,M001,Es Kopi Susu,Coffee,22000,3,66000
T000057,2026-01-02 07:01:15,C00003,regular,M004,Cappuccino,Coffee,28000,1,28000
T000057,2026-01-02 07:01:15,C00003,regular,M001,Es Kopi Susu,Coffee,22000,3,66000
T000058,2026-01-02 13:16:49,C00078,regular,M024,Gado-Gado,Food,28000,1,28000
T000058,2026-01-02 13:16:49,C00078,regular,M026,Ayam Geprek,Food,38000,3,114000
T000059,2026-01-02 08:01:59,C00087,regular,M005,Latte,Coffee,28000,3,84000
T000059,2026-01-02 08:01:59,C00087,regular,M003,Americano,Coffee,20000,1,20000
T000059,2026-01-02 08:01:59,C00087,regular,M026,Ayam Geprek,Food,38000,1,38000
T000060,2026-01-02 17:19:54,W000992,walk_in,M012,Es Jeruk,Juice,18000,1,18000
T000060,2026-01-02 17:19:54,W000992,walk_in,M011,Matcha Latte,Tea,28000,1,28000
T000061,2026-01-02 08:41:21,C00054,regular,M001,Es Kopi Susu,Coffee,22000,3,66000
T000061,2026-01-02 08:41:21,C00054,regular,M020,Nasi Goreng,Food,35000,2,70000
T000061,2026-01-02 08:41:21,C00054,regular,M021,Mie Goreng,Food,32000,1,32000
T000062,2026-01-02 18:41:17,W003961,walk_in,M026,Ayam Geprek,Food,38000,1,38000
T000062,2026-01-02 18:41:17,W003961,walk_in,M010,Teh Manis Panas/Dingin,Tea,10000,1,10000
T000063,2026-01-02 20:17:56,C00097,regular,M022,Bakso,Food,30000,1,30000
T000063,2026-01-02 20:17:56,C00097,regular,M001,Es Kopi Susu,Coffee,22000,2,44000
T000064,2026-01-02 09:13:22,W002789,walk_in,M013,Es Campur,Juice,20000,2,40000
T000065,2026-01-02 15:33:12,C00093,regular,M012,Es Jeruk,Juice,18000,1,18000
T000066,2026-01-02 13:45:31,C00003,regular,M005,Latte,Coffee,28000,1,28000
T000067,2026-01-02 11:37:23,C00068,regular,M040,Extra Shot,AddOn,8000,1,8000
T000068,2026-01-02 12:29:17,C00030,regular,M005,Latte,Coffee,28000,1,28000
T000069,2026-01-02 15:48:44,C00028,regular,M005,Latte,Coffee,28000,1,28000
T000069,2026-01-02 15:48:44,C00028,regular,M023,Soto Ayam,Food,28000,1,28000
T000070,2026-01-02 21:53:12,C00047,regular,M001,Es Kopi Susu,Coffee,22000,1,22000
T000071,2026-01-02 11:03:35,C00017,regular,M023,Soto Ayam,Food,28000,1,28000
T000071,2026-01-02 11:03:35,C00017,regular,M001,Es Kopi Susu,Coffee,22000,1,22000
T000072,2026-01-02 13:21:11,W002069,walk_in,M020,Nasi Goreng,Food,35000,2,70000
T000072,2026-01-02 13:21:11,W002069,walk_in,M014,Coconut Water,Juice,15000,1,15000
T000072,2026-01-02 13:21:11,W002069,walk_in,M022,Bakso,Food,30000,1,30000
T000073,2026-01-02 08:36:19,C00032,regular,M023,Soto Ayam,Food,28000,1,28000
T000074,2026-01-02 18:14:49,C00058,regular,M006,Es Kopi Gula Aren,Coffee,25000,1,25000
T000074,2026-01-02 18:14:49,C00058,regular,M020,Nasi Goreng,Food,35000,1,35000
T000074,2026-01-02 18:14:49,C00058,regular,M001,Es Kopi Susu,Coffee,22000,3,66000
T000075,2026-01-02 08:48:13,W002168,walk_in,M002,Kopi Tubruk,Coffee,15000,1,15000
T000075,2026-01-02 08:48:13,W002168,walk_in,M001,Es Kopi Susu,Coffee,22000,1,22000
T000076,2026-01-02 13:38:30,C00030,regular,M006,Es Kopi Gula Aren,Coffee,25000,2,50000
T000077,2026-01-02 08:14:59,C00102,regular,M020,Nasi Goreng,Food,35000,3,105000
T000077,2026-01-02 08:14:59,C00102,regular,M005,Latte,Coffee,28000,1,28000
T000078,2026-01-02 16:58:17,W000585,walk_in,M025,Nasi Uduk Komplit,Food,30000,1,30000
T000079,2026-01-02 19:58:18,C00060,regular,M023,Soto Ayam,Food,28000,3,84000
T000079,2026-01-02 19:58:18,C00060,regular,M020,Nasi Goreng,Food,35000,1,35000
T000080,2026-01-02 08:02:56,C00042,regular,M001,Es Kopi Susu,Coffee,22000,1,22000
T000080,2026-01-02 08:02:56,C00042,regular,M020,Nasi Goreng,Food,35000,2,70000
T000081,2026-01-02 16:01:48,W002208,walk_in,M023,Soto Ayam,Food,28000,1,28000
T000081,2026-01-02 16:01:48,W002208,walk_in,M011,Matcha Latte,Tea,28000,1,28000
T000082,2026-01-02 11:37:27,W004029,walk_in,M012,Es Jeruk,Juice,18000,1,18000
T000082,2026-01-02 11:37:27,W004029,walk_in,M006,Es Kopi Gula Aren,Coffee,25000,1,25000
T000082,2026-01-02 11:37:27,W004029,walk_in,M003,Americano,Coffee,20000,1,20000
T000082,2026-01-02 11:37:27,W004029,walk_in,M013,Es Campur,Juice,20000,1,20000
T000083,2026-01-02 12:48:35,C00012,regular,M011,Matcha Latte,Tea,28000,3,84000
T000084,2026-01-02 12:32:52,W003785,walk_in,M005,Latte,Coffee,28000,1,28000
T000085,2026-01-02 18:40:28,W001668,walk_in,M003,Americano,Coffee,20000,1,20000
T000086,2026-01-02 19:31:07,C00081,regular,M005,Latte,Coffee,28000,1,28000
